Conversion run started at 2026-05-19 22:12:45
Working directory: /home/gpca/tspredit
[2026-05-19 22:12:50] phase=rmd->md status=ok duration=5.189s file=Rmd/augment/01-no-augmentation.Rmd
[2026-05-19 22:12:51] phase=rmd->md status=ok duration=1.194s file=Rmd/augment/02-jitter-augmentation.Rmd
[2026-05-19 22:12:52] phase=rmd->md status=ok duration=1.058s file=Rmd/augment/03-flip-augmentation.Rmd
[2026-05-19 22:12:53] phase=rmd->md status=ok duration=1.043s file=Rmd/augment/04-stretch-augmentation.Rmd
[2026-05-19 22:12:54] phase=rmd->md status=ok duration=1.014s file=Rmd/augment/05-shrink-augmentation.Rmd
[2026-05-19 22:12:55] phase=rmd->md status=ok duration=0.957s file=Rmd/augment/06-wormhole-augmentation.Rmd
[2026-05-19 22:12:56] phase=rmd->md status=ok duration=0.798s file=Rmd/augment/07-awareness-augmentation.Rmd
[2026-05-19 22:12:57] phase=rmd->md status=ok duration=0.976s file=Rmd/augment/08-aware-smoothing-augmentation.Rmd
[2026-05-19 22:12:57] phase=rmd->md status=ok duration=0.010s file=Rmd/augment/README.Rmd
[2026-05-19 22:12:57] phase=rmd->md status=ok duration=0.219s file=Rmd/custom/01-custom-prediction.Rmd
[2026-05-19 22:12:58] phase=rmd->md status=ok duration=0.426s file=Rmd/custom/02-custom-filter.Rmd
[2026-05-19 22:12:58] phase=rmd->md status=ok duration=0.167s file=Rmd/custom/03-custom-augmentation.Rmd
[2026-05-19 22:12:58] phase=rmd->md status=ok duration=0.214s file=Rmd/custom/04-custom-normalization.Rmd
[2026-05-19 22:12:58] phase=rmd->md status=ok duration=0.009s file=Rmd/custom/README.Rmd
[2026-05-19 22:12:58] phase=rmd->md status=ok duration=0.276s file=Rmd/datasets/01-tsd.Rmd
[2026-05-19 22:12:59] phase=rmd->md status=ok duration=0.539s file=Rmd/datasets/02-eunite-loads.Rmd
[2026-05-19 22:12:59] phase=rmd->md status=ok duration=0.491s file=Rmd/datasets/03-eunite-reg.Rmd
[2026-05-19 22:13:00] phase=rmd->md status=ok duration=0.505s file=Rmd/datasets/04-eunite-temp.Rmd
[2026-05-19 22:13:01] phase=rmd->md status=ok duration=0.730s file=Rmd/datasets/05-ipeadata-daily.Rmd
