Conversion run started at 2026-05-22 13:23:10
Working directory: /home/gpca/tspredit
[2026-05-22 13:23:15] phase=rmd->md status=ok duration=5.318s file=Rmd/augment/01-no-augmentation.Rmd
[2026-05-22 13:23:16] phase=rmd->md status=ok duration=1.301s file=Rmd/augment/02-jitter-augmentation.Rmd
[2026-05-22 13:23:18] phase=rmd->md status=ok duration=1.317s file=Rmd/augment/03-flip-augmentation.Rmd
[2026-05-22 13:23:19] phase=rmd->md status=ok duration=1.524s file=Rmd/augment/04-stretch-augmentation.Rmd
[2026-05-22 13:23:21] phase=rmd->md status=ok duration=1.293s file=Rmd/augment/05-shrink-augmentation.Rmd
[2026-05-22 13:23:22] phase=rmd->md status=ok duration=1.136s file=Rmd/augment/06-wormhole-augmentation.Rmd
[2026-05-22 13:23:23] phase=rmd->md status=ok duration=0.849s file=Rmd/augment/07-awareness-augmentation.Rmd
[2026-05-22 13:23:23] phase=rmd->md status=ok duration=0.823s file=Rmd/augment/08-aware-smoothing-augmentation.Rmd
[2026-05-22 13:23:23] phase=rmd->md status=ok duration=0.009s file=Rmd/augment/README.Rmd
[2026-05-22 13:23:24] phase=rmd->md status=ok duration=0.200s file=Rmd/custom/01-custom-prediction.Rmd
[2026-05-22 13:23:24] phase=rmd->md status=ok duration=0.698s file=Rmd/custom/02-custom-filter.Rmd
[2026-05-22 13:23:24] phase=rmd->md status=ok duration=0.136s file=Rmd/custom/03-custom-augmentation.Rmd
[2026-05-22 13:23:25] phase=rmd->md status=ok duration=0.527s file=Rmd/custom/04-custom-normalization.Rmd
[2026-05-22 13:23:25] phase=rmd->md status=ok duration=0.009s file=Rmd/custom/README.Rmd
[2026-05-22 13:23:25] phase=rmd->md status=ok duration=0.270s file=Rmd/datasets/01-tsd.Rmd
[2026-05-22 13:23:26] phase=rmd->md status=ok duration=0.560s file=Rmd/datasets/02-eunite-loads.Rmd
[2026-05-22 13:23:26] phase=rmd->md status=ok duration=0.529s file=Rmd/datasets/03-eunite-reg.Rmd
[2026-05-22 13:23:27] phase=rmd->md status=ok duration=1.108s file=Rmd/datasets/04-eunite-temp.Rmd
[2026-05-22 13:23:29] phase=rmd->md status=ok duration=1.125s file=Rmd/datasets/05-ipeadata-daily.Rmd
[2026-05-22 13:23:29] phase=rmd->md status=ok duration=0.508s file=Rmd/datasets/06-ipeadata-monthly.Rmd
[2026-05-22 13:23:30] phase=rmd->md status=ok duration=0.677s file=Rmd/datasets/07-nn3.Rmd
[2026-05-22 13:23:31] phase=rmd->md status=ok duration=0.867s file=Rmd/datasets/08-nn5.Rmd
[2026-05-22 13:23:31] phase=rmd->md status=ok duration=0.540s file=Rmd/datasets/09-cats.Rmd
[2026-05-22 13:23:32] phase=rmd->md status=ok duration=0.739s file=Rmd/datasets/10-santafe-a.Rmd
[2026-05-22 13:23:32] phase=rmd->md status=ok duration=0.534s file=Rmd/datasets/11-santafe-d.Rmd
[2026-05-22 13:23:33] phase=rmd->md status=ok duration=0.709s file=Rmd/datasets/12-bioenergy.Rmd
[2026-05-22 13:23:34] phase=rmd->md status=ok duration=0.501s file=Rmd/datasets/13-climate.Rmd
[2026-05-22 13:23:34] phase=rmd->md status=ok duration=0.695s file=Rmd/datasets/14-emissions.Rmd
[2026-05-22 13:23:35] phase=rmd->md status=ok duration=0.552s file=Rmd/datasets/15-fertilizers.Rmd
