Conversion run started at 2026-05-19 12:40:45
Working directory: C:/Git/dal/tspredit
[2026-05-19 12:40:48] phase=rmd->md status=ok duration=2.749s file=Rmd/augment/01-no-augmentation.Rmd
[2026-05-19 12:40:50] phase=rmd->md status=ok duration=2.161s file=Rmd/augment/02-jitter-augmentation.Rmd
[2026-05-19 12:40:52] phase=rmd->md status=ok duration=2.013s file=Rmd/augment/03-flip-augmentation.Rmd
[2026-05-19 12:40:54] phase=rmd->md status=ok duration=1.712s file=Rmd/augment/04-stretch-augmentation.Rmd
[2026-05-19 12:40:56] phase=rmd->md status=ok duration=2.422s file=Rmd/augment/05-shrink-augmentation.Rmd
[2026-05-19 12:40:59] phase=rmd->md status=ok duration=2.820s file=Rmd/augment/06-wormhole-augmentation.Rmd
[2026-05-19 12:41:01] phase=rmd->md status=ok duration=2.234s file=Rmd/augment/07-awareness-augmentation.Rmd
[2026-05-19 12:41:03] phase=rmd->md status=ok duration=1.760s file=Rmd/augment/08-aware-smoothing-augmentation.Rmd
[2026-05-19 12:41:03] phase=rmd->md status=ok duration=0.016s file=Rmd/augment/README.Rmd
[2026-05-19 12:41:05] phase=rmd->md status=ok duration=1.483s file=Rmd/custom/01-custom-prediction.Rmd
[2026-05-19 12:41:06] phase=rmd->md status=ok duration=1.715s file=Rmd/custom/02-custom-filter.Rmd
[2026-05-19 12:41:07] phase=rmd->md status=ok duration=0.549s file=Rmd/custom/03-custom-augmentation.Rmd
[2026-05-19 12:41:09] phase=rmd->md status=ok duration=2.276s file=Rmd/custom/04-custom-normalization.Rmd
[2026-05-19 12:41:09] phase=rmd->md status=ok duration=0.016s file=Rmd/custom/README.Rmd
[2026-05-19 12:41:11] phase=rmd->md status=ok duration=1.796s file=Rmd/datasets/01-tsd.Rmd
[2026-05-19 12:41:13] phase=rmd->md status=ok duration=1.730s file=Rmd/datasets/02-eunite-loads.Rmd
[2026-05-19 12:41:15] phase=rmd->md status=ok duration=2.030s file=Rmd/datasets/03-eunite-reg.Rmd
[2026-05-19 12:41:17] phase=rmd->md status=ok duration=1.778s file=Rmd/datasets/04-eunite-temp.Rmd
[2026-05-19 12:42:12] phase=rmd->md status=ok duration=55.533s file=Rmd/datasets/05-ipeadata-daily.Rmd
[2026-05-19 12:42:14] phase=rmd->md status=ok duration=1.539s file=Rmd/datasets/06-ipeadata-monthly.Rmd
[2026-05-19 12:42:16] phase=rmd->md status=ok duration=2.278s file=Rmd/datasets/07-nn3.Rmd
[2026-05-19 12:42:17] phase=rmd->md status=ok duration=1.619s file=Rmd/datasets/08-nn5.Rmd
[2026-05-19 12:42:19] phase=rmd->md status=ok duration=1.380s file=Rmd/datasets/09-cats.Rmd
[2026-05-19 12:42:20] phase=rmd->md status=ok duration=1.359s file=Rmd/datasets/10-santafe-a.Rmd
[2026-05-19 12:42:22] phase=rmd->md status=ok duration=1.548s file=Rmd/datasets/11-santafe-d.Rmd
[2026-05-19 12:42:23] phase=rmd->md status=ok duration=1.299s file=Rmd/datasets/12-bioenergy.Rmd
[2026-05-19 12:42:23] phase=rmd->md status=ok duration=0.432s file=Rmd/datasets/13-climate.Rmd
[2026-05-19 12:42:26] phase=rmd->md status=ok duration=2.457s file=Rmd/datasets/14-emissions.Rmd
[2026-05-19 12:42:28] phase=rmd->md status=ok duration=1.666s file=Rmd/datasets/15-fertilizers.Rmd
