Conversion run started at 2026-07-08 19:14:23
Working directory: /home/gpca/tspredit
[2026-07-08 19:14:29] phase=rmd->md status=ok duration=5.559s file=Rmd/augment/01-no-augmentation.Rmd
[2026-07-08 19:14:30] phase=rmd->md status=ok duration=1.352s file=Rmd/augment/02-jitter-augmentation.Rmd
[2026-07-08 19:14:31] phase=rmd->md status=ok duration=1.008s file=Rmd/augment/03-flip-augmentation.Rmd
[2026-07-08 19:14:32] phase=rmd->md status=ok duration=1.223s file=Rmd/augment/04-stretch-augmentation.Rmd
[2026-07-08 19:14:33] phase=rmd->md status=ok duration=0.999s file=Rmd/augment/05-shrink-augmentation.Rmd
[2026-07-08 19:14:34] phase=rmd->md status=ok duration=1.004s file=Rmd/augment/06-wormhole-augmentation.Rmd
[2026-07-08 19:14:35] phase=rmd->md status=ok duration=1.075s file=Rmd/augment/07-awareness-augmentation.Rmd
[2026-07-08 19:14:36] phase=rmd->md status=ok duration=1.068s file=Rmd/augment/08-aware-smoothing-augmentation.Rmd
[2026-07-08 19:14:36] phase=rmd->md status=ok duration=0.010s file=Rmd/augment/README.Rmd
[2026-07-08 19:14:37] phase=rmd->md status=ok duration=0.206s file=Rmd/custom/01-custom-prediction.Rmd
[2026-07-08 19:14:37] phase=rmd->md status=ok duration=0.335s file=Rmd/custom/02-custom-filter.Rmd
[2026-07-08 19:14:37] phase=rmd->md status=ok duration=0.134s file=Rmd/custom/03-custom-augmentation.Rmd
[2026-07-08 19:14:37] phase=rmd->md status=ok duration=0.202s file=Rmd/custom/04-custom-normalization.Rmd
[2026-07-08 19:14:37] phase=rmd->md status=ok duration=0.010s file=Rmd/custom/README.Rmd
[2026-07-08 19:14:37] phase=rmd->md status=ok duration=0.277s file=Rmd/datasets/01-tsd.Rmd
[2026-07-08 19:14:38] phase=rmd->md status=ok duration=0.635s file=Rmd/datasets/02-eunite-loads.Rmd
[2026-07-08 19:14:39] phase=rmd->md status=ok duration=0.499s file=Rmd/datasets/03-eunite-reg.Rmd
[2026-07-08 19:14:39] phase=rmd->md status=ok duration=0.655s file=Rmd/datasets/04-eunite-temp.Rmd
[2026-07-08 19:14:40] phase=rmd->md status=ok duration=0.686s file=Rmd/datasets/05-ipeadata-daily.Rmd
[2026-07-08 19:14:41] phase=rmd->md status=ok duration=0.553s file=Rmd/datasets/06-ipeadata-monthly.Rmd
[2026-07-08 19:14:42] phase=rmd->md status=ok duration=1.083s file=Rmd/datasets/07-nn3.Rmd
[2026-07-08 19:14:43] phase=rmd->md status=ok duration=1.034s file=Rmd/datasets/08-nn5.Rmd
[2026-07-08 19:14:43] phase=rmd->md status=ok duration=0.510s file=Rmd/datasets/09-cats.Rmd
[2026-07-08 19:14:44] phase=rmd->md status=ok duration=0.508s file=Rmd/datasets/10-santafe-a.Rmd
[2026-07-08 19:14:45] phase=rmd->md status=ok duration=1.264s file=Rmd/datasets/11-santafe-d.Rmd
[2026-07-08 19:14:45] phase=rmd->md status=ok duration=0.469s file=Rmd/datasets/12-bioenergy.Rmd
[2026-07-08 19:14:46] phase=rmd->md status=ok duration=0.464s file=Rmd/datasets/13-climate.Rmd
[2026-07-08 19:14:47] phase=rmd->md status=ok duration=0.688s file=Rmd/datasets/14-emissions.Rmd
[2026-07-08 19:14:47] phase=rmd->md status=ok duration=0.464s file=Rmd/datasets/15-fertilizers.Rmd
[2026-07-08 19:14:48] phase=rmd->md status=ok duration=0.490s file=Rmd/datasets/16-gdp.Rmd
[2026-07-08 19:14:48] phase=rmd->md status=ok duration=0.637s file=Rmd/datasets/17-m1.Rmd
[2026-07-08 19:14:49] phase=rmd->md status=ok duration=0.645s file=Rmd/datasets/18-m3.Rmd
[2026-07-08 19:14:50] phase=rmd->md status=ok duration=0.880s file=Rmd/datasets/19-m4.Rmd
[2026-07-08 19:14:50] phase=rmd->md status=ok duration=0.681s file=Rmd/datasets/20-pesticides.Rmd
[2026-07-08 19:14:52] phase=rmd->md status=ok duration=1.817s file=Rmd/datasets/21-stocks.Rmd
[2026-07-08 19:14:52] phase=rmd->md status=ok duration=0.010s file=Rmd/datasets/README.Rmd
[2026-07-08 19:14:53] phase=rmd->md status=ok duration=0.480s file=Rmd/filter/01-no-filter.Rmd
[2026-07-08 19:14:54] phase=rmd->md status=ok duration=0.847s file=Rmd/filter/02-moving-average-filter.Rmd
[2026-07-08 19:14:54] phase=rmd->md status=ok duration=0.548s file=Rmd/filter/03-exponential-moving-average-filter.Rmd
[2026-07-08 19:14:55] phase=rmd->md status=ok duration=0.714s file=Rmd/filter/04-smoothing-filter.Rmd
[2026-07-08 19:14:55] phase=rmd->md status=ok duration=0.722s file=Rmd/filter/05-lowess-filter.Rmd
[2026-07-08 19:14:56] phase=rmd->md status=ok duration=0.670s file=Rmd/filter/06-spline-filter.Rmd
[2026-07-08 19:14:57] phase=rmd->md status=ok duration=0.960s file=Rmd/filter/07-winsor-filter.Rmd
[2026-07-08 19:14:58] phase=rmd->md status=ok duration=0.748s file=Rmd/filter/08-qes-filter.Rmd
[2026-07-08 19:14:59] phase=rmd->md status=ok duration=0.741s file=Rmd/filter/09-fft-filter.Rmd
[2026-07-08 19:14:59] phase=rmd->md status=ok duration=0.739s file=Rmd/filter/10-wavelet-filter.Rmd
[2026-07-08 19:15:01] phase=rmd->md status=ok duration=1.245s file=Rmd/filter/11-emd-filter.Rmd
[2026-07-08 19:15:02] phase=rmd->md status=ok duration=0.915s file=Rmd/filter/12-robust-emd-filter.Rmd
[2026-07-08 19:15:02] phase=rmd->md status=ok duration=0.926s file=Rmd/filter/13-hp-filter.Rmd
[2026-07-08 19:15:03] phase=rmd->md status=ok duration=0.981s file=Rmd/filter/14-kalman-filter.Rmd
[2026-07-08 19:15:04] phase=rmd->md status=ok duration=0.986s file=Rmd/filter/15-seasonal-adjustment-filter.Rmd
[2026-07-08 19:15:04] phase=rmd->md status=ok duration=0.010s file=Rmd/filter/README.Rmd
[2026-07-08 19:15:05] phase=rmd->md status=ok duration=0.373s file=Rmd/lagmapping/01-recent-lag-mapping.Rmd
[2026-07-08 19:15:05] phase=rmd->md status=ok duration=0.509s file=Rmd/lagmapping/02-even-lag-mapping.Rmd
[2026-07-08 19:15:06] phase=rmd->md status=ok duration=0.304s file=Rmd/lagmapping/03-geometric-lag-mapping.Rmd
[2026-07-08 19:15:06] phase=rmd->md status=ok duration=0.318s file=Rmd/lagmapping/04-acf-lag-mapping.Rmd
[2026-07-08 19:15:06] phase=rmd->md status=ok duration=0.346s file=Rmd/lagmapping/05-pacf-lag-mapping.Rmd
[2026-07-08 19:15:07] phase=rmd->md status=ok duration=0.552s file=Rmd/lagmapping/06-peaks-lag-mapping.Rmd
[2026-07-08 19:15:07] phase=rmd->md status=ok duration=0.501s file=Rmd/lagmapping/07-seasonal-lag-mapping.Rmd
[2026-07-08 19:15:08] phase=rmd->md status=ok duration=0.320s file=Rmd/lagmapping/08-acf-seasonal-lag-mapping.Rmd
[2026-07-08 19:15:08] phase=rmd->md status=ok duration=0.326s file=Rmd/lagmapping/09-pacf-seasonal-lag-mapping.Rmd
[2026-07-08 19:15:08] phase=rmd->md status=ok duration=0.351s file=Rmd/lagmapping/10-blocks-lag-mapping.Rmd
[2026-07-08 19:15:09] phase=rmd->md status=ok duration=0.540s file=Rmd/lagmapping/11-mi-lag-mapping.Rmd
[2026-07-08 19:15:09] phase=rmd->md status=ok duration=0.462s file=Rmd/lagmapping/12-mrmr-lag-mapping.Rmd
[2026-07-08 19:15:11] phase=rmd->md status=ok duration=1.817s file=Rmd/lagmapping/13-lag-mapping-comparison.Rmd
[2026-07-08 19:15:11] phase=rmd->md status=ok duration=0.010s file=Rmd/lagmapping/README.Rmd
[2026-07-08 19:15:11] phase=rmd->md status=ok duration=0.187s file=Rmd/multivariate/01-build-ts-data-mv.Rmd
[2026-07-08 19:15:11] phase=rmd->md status=ok duration=0.080s file=Rmd/multivariate/02-singular-train-test-split-mv.Rmd
[2026-07-08 19:15:12] phase=rmd->md status=ok duration=0.102s file=Rmd/multivariate/03-linear-regression-mv.Rmd
[2026-07-08 19:15:12] phase=rmd->md status=ok duration=0.868s file=Rmd/multivariate/04-arimax-regression-mv.Rmd
[2026-07-08 19:15:12] phase=rmd->md status=ok duration=0.096s file=Rmd/multivariate/05-vector-autoregression-mv.Rmd
[2026-07-08 19:15:13] phase=rmd->md status=ok duration=0.232s file=Rmd/multivariate/06-materialize-windows-mv.Rmd
[2026-07-08 19:15:13] phase=rmd->md status=ok duration=0.187s file=Rmd/multivariate/07-train-test-split-windowed-mv.Rmd
[2026-07-08 19:15:13] phase=rmd->md status=ok duration=0.579s file=Rmd/multivariate/08-deterministic-auxiliary-models.Rmd
[2026-07-08 19:15:16] phase=rmd->md status=ok duration=2.068s file=Rmd/multivariate/09-target-centered-regression.Rmd
[2026-07-08 19:15:17] phase=rmd->md status=ok duration=1.568s file=Rmd/multivariate/10-stock-close-regression.Rmd
[2026-07-08 19:15:18] phase=rmd->md status=ok duration=0.695s file=Rmd/multivariate/11-stock-close-knn-regression.Rmd
[2026-07-08 19:15:19] phase=rmd->md status=ok duration=1.136s file=Rmd/multivariate/12-stock-close-svm-regression.Rmd
[2026-07-08 19:15:20] phase=rmd->md status=ok duration=1.488s file=Rmd/multivariate/13-stock-close-random-forest-regression.Rmd
[2026-07-08 19:15:21] phase=rmd->md status=ok duration=0.707s file=Rmd/multivariate/14-stock-close-mlp-regression.Rmd
[2026-07-08 19:15:22] phase=rmd->md status=ok duration=0.695s file=Rmd/multivariate/15-stock-close-elm-regression.Rmd
[2026-07-08 19:15:26] phase=rmd->md status=ok duration=3.817s file=Rmd/multivariate/16-stock-close-torch-ts-mlp-regression.Rmd
[2026-07-08 19:15:29] phase=rmd->md status=ok duration=2.859s file=Rmd/multivariate/17-stock-close-conv1d-regression.Rmd
[2026-07-08 19:15:32] phase=rmd->md status=ok duration=3.177s file=Rmd/multivariate/18-stock-close-lstm-regression.Rmd
[2026-07-08 19:15:33] phase=rmd->md status=ok duration=0.827s file=Rmd/multivariate/19-stock-close-linear-regression-mv.Rmd
[2026-07-08 19:15:33] phase=rmd->md status=ok duration=0.961s file=Rmd/multivariate/20-stock-close-arimax-regression-mv.Rmd
[2026-07-08 19:15:34] phase=rmd->md status=ok duration=0.627s file=Rmd/multivariate/21-stock-close-vector-autoregression-mv.Rmd
[2026-07-08 19:15:34] phase=rmd->md status=ok duration=0.011s file=Rmd/multivariate/README.Rmd
[2026-07-08 19:15:35] phase=rmd->md status=ok duration=1.137s file=Rmd/normalization/01-no-normalization.Rmd
[2026-07-08 19:15:37] phase=rmd->md status=ok duration=1.245s file=Rmd/normalization/02-global-minmax-normalization.Rmd
[2026-07-08 19:15:37] phase=rmd->md status=ok duration=0.789s file=Rmd/normalization/03-sliding-window-minmax-normalization.Rmd
[2026-07-08 19:15:38] phase=rmd->md status=ok duration=1.197s file=Rmd/normalization/04-differencing-normalization.Rmd
[2026-07-08 19:15:39] phase=rmd->md status=ok duration=0.862s file=Rmd/normalization/05-adaptive-normalization.Rmd
[2026-07-08 19:15:40] phase=rmd->md status=ok duration=0.561s file=Rmd/normalization/06-adaptive-subtraction-normalization.Rmd
[2026-07-08 19:15:40] phase=rmd->md status=ok duration=0.584s file=Rmd/normalization/07-adaptive-softdivide-normalization.Rmd
[2026-07-08 19:15:41] phase=rmd->md status=ok duration=0.566s file=Rmd/normalization/08-adaptive-asinh-normalization.Rmd
[2026-07-08 19:15:43] phase=rmd->md status=ok duration=1.624s file=Rmd/normalization/09-adaptive-normalization-comparison.Rmd
[2026-07-08 19:15:43] phase=rmd->md status=ok duration=0.010s file=Rmd/normalization/README.Rmd
[2026-07-08 19:15:43] phase=rmd->md status=ok duration=0.642s file=Rmd/prediction/01-arima-baseline.Rmd
[2026-07-08 19:15:44] phase=rmd->md status=ok duration=0.715s file=Rmd/prediction/02-knn-regression.Rmd
[2026-07-08 19:15:45] phase=rmd->md status=ok duration=0.673s file=Rmd/prediction/03-svm-regression.Rmd
[2026-07-08 19:15:45] phase=rmd->md status=ok duration=0.625s file=Rmd/prediction/04-random-forest-regression.Rmd
[2026-07-08 19:15:46] phase=rmd->md status=ok duration=0.662s file=Rmd/prediction/05-mlp-regression.Rmd
[2026-07-08 19:15:47] phase=rmd->md status=ok duration=0.611s file=Rmd/prediction/06-elm-regression.Rmd
[2026-07-08 19:15:48] phase=rmd->md status=ok duration=1.569s file=Rmd/prediction/07-torch-ts-mlp-regression.Rmd
[2026-07-08 19:15:49] phase=rmd->md status=ok duration=1.147s file=Rmd/prediction/08-conv1d-regression.Rmd
[2026-07-08 19:15:52] phase=rmd->md status=ok duration=2.859s file=Rmd/prediction/09-lstm-regression.Rmd
[2026-07-08 19:15:59] phase=rmd->md status=ok duration=6.706s file=Rmd/prediction/10-model-tuning.Rmd
