Conversion run started at 2026-09-19 05:37:19
Working directory: /home/gpca/tspredit
[2026-09-19 05:37:29] phase=rmd->md status=ok duration=10.528s file=Rmd/augment/01-no-augmentation.Rmd
[2026-09-19 05:37:31] phase=rmd->md status=ok duration=1.218s file=Rmd/augment/02-jitter-augmentation.Rmd
[2026-09-19 05:37:32] phase=rmd->md status=ok duration=1.150s file=Rmd/augment/03-flip-augmentation.Rmd
[2026-09-19 05:37:33] phase=rmd->md status=ok duration=1.062s file=Rmd/augment/04-stretch-augmentation.Rmd
[2026-09-19 05:37:34] phase=rmd->md status=ok duration=0.965s file=Rmd/augment/05-shrink-augmentation.Rmd
[2026-09-19 05:37:35] phase=rmd->md status=ok duration=1.105s file=Rmd/augment/06-wormhole-augmentation.Rmd
[2026-09-19 05:37:36] phase=rmd->md status=ok duration=0.847s file=Rmd/augment/07-awareness-augmentation.Rmd
[2026-09-19 05:37:37] phase=rmd->md status=ok duration=0.978s file=Rmd/augment/08-aware-smoothing-augmentation.Rmd
[2026-09-19 05:37:37] phase=rmd->md status=ok duration=0.011s file=Rmd/augment/README.Rmd
[2026-09-19 05:37:37] phase=rmd->md status=ok duration=0.342s file=Rmd/custom/01-custom-prediction.Rmd
[2026-09-19 05:37:37] phase=rmd->md status=ok duration=0.322s file=Rmd/custom/02-custom-filter.Rmd
[2026-09-19 05:37:38] phase=rmd->md status=ok duration=0.177s file=Rmd/custom/03-custom-augmentation.Rmd
[2026-09-19 05:37:38] phase=rmd->md status=ok duration=0.180s file=Rmd/custom/04-custom-normalization.Rmd
[2026-09-19 05:37:38] phase=rmd->md status=ok duration=0.010s file=Rmd/custom/README.Rmd
[2026-09-19 05:37:38] phase=rmd->md status=ok duration=0.269s file=Rmd/datasets/01-tsd.Rmd
[2026-09-19 05:37:39] phase=rmd->md status=ok duration=0.498s file=Rmd/datasets/02-eunite-loads.Rmd
[2026-09-19 05:37:39] phase=rmd->md status=ok duration=0.460s file=Rmd/datasets/03-eunite-reg.Rmd
[2026-09-19 05:37:40] phase=rmd->md status=ok duration=0.629s file=Rmd/datasets/04-eunite-temp.Rmd
[2026-09-19 05:37:40] phase=rmd->md status=ok duration=0.445s file=Rmd/datasets/05-ipeadata-daily.Rmd
[2026-09-19 05:37:41] phase=rmd->md status=ok duration=0.470s file=Rmd/datasets/06-ipeadata-monthly.Rmd
